Area,Item,Element,Year,Value
China,"Roots and Tubers, Total",Production,2009,146143420
China,"Roots and Tubers, Total",Area harvested,2010,8405888
China,"Roots and Tubers, Total",Yield,2010,17689.8
China,"Roots and Tubers, Total",Production,2010,148698158.7
China,"Roots and Tubers, Total",Area harvested,2011,8378619
China,"Roots and Tubers, Total",Yield,2011,18226.4
China,"Roots and Tubers, Total",Production,2011,152711821.8
China,"Roots and Tubers, Total",Area harvested,2012,8210598
China,"Roots and Tubers, Total",Yield,2012,18371.4
China,"Roots and Tubers, Total",Production,2012,150839926
China,"Roots and Tubers, Total",Area harvested,2013,8123549
China,"Roots and Tubers, Total",Yield,2013,18407.1
China,"Roots and Tubers, Total",Production,2013,149531287
China,"Roots and Tubers, Total",Area harvested,2014,7947555
China,"Roots and Tubers, Total",Yield,2014,18473.6
China,"Roots and Tubers, Total",Production,2014,146820227.3
China,"Roots and Tubers, Total",Area harvested,2015,7707696
China,"Roots and Tubers, Total",Yield,2015,18686.3
China,"Roots and Tubers, Total",Production,2015,144028513.7
China,"Roots and Tubers, Total",Area harvested,2016,7649638
China,"Roots and Tubers, Total",Yield,2016,18748.5
China,"Roots and Tubers, Total",Production,2016,143419020.4
China,"Roots and Tubers, Total",Area harvested,2017,7585719
China,"Roots and Tubers, Total",Yield,2017,19394.3
China,"Roots and Tubers, Total",Production,2017,147119605.1
China,"Roots and Tubers, Total",Area harvested,2018,7543106
China,"Roots and Tubers, Total",Yield,2018,19956.3
China,"Roots and Tubers, Total",Production,2018,150532287.1
China,"Roots and Tubers, Total",Area harvested,2019,6726342
China,"Roots and Tubers, Total",Yield,2019,21849.9
China,"Roots and Tubers, Total",Production,2019,146969777.8
China,"Roots and Tubers, Total",Area harvested,2020,7413197
China,"Roots and Tubers, Total",Yield,2020,20473.1
China,"Roots and Tubers, Total",Production,2020,151771342.6
China,"Roots and Tubers, Total",Area harvested,2021,7374431
China,"Roots and Tubers, Total",Yield,2021,20790
China,"Roots and Tubers, Total",Production,2021,153314668.5
China,"Roots and Tubers, Total",Area harvested,2022,7263660
China,"Roots and Tubers, Total",Yield,2022,20769.4
China,"Roots and Tubers, Total",Production,2022,150862102.8
China,"Roots and Tubers, Total",Area harvested,2023,7311012
China,"Roots and Tubers, Total",Yield,2023,20827.3
China,"Roots and Tubers, Total",Production,2023,152268438.5
China,Sugar Crops Primary,Area harvested,1961,499100
China,Sugar Crops Primary,Yield,1961,26473
China,Sugar Crops Primary,Production,1961,13212694
China,Sugar Crops Primary,Area harvested,1962,334900
China,Sugar Crops Primary,Yield,1962,30362.2
China,Sugar Crops Primary,Production,1962,10168314
China,Sugar Crops Primary,Area harvested,1963,360482
China,Sugar Crops Primary,Yield,1963,41821.6
China,Sugar Crops Primary,Production,1963,15075929
China,Sugar Crops Primary,Area harvested,1964,529683
China,Sugar Crops Primary,Yield,1964,38645.1
China,Sugar Crops Primary,Production,1964,20469654
China,Sugar Crops Primary,Area harvested,1965,635928
China,Sugar Crops Primary,Yield,1965,39474.1
China,Sugar Crops Primary,Production,1965,25102700
China,Sugar Crops Primary,Area harvested,1966,648924
China,Sugar Crops Primary,Yield,1966,35759.1
China,Sugar Crops Primary,Production,1966,23204970
China,Sugar Crops Primary,Area harvested,1967,620952
China,Sugar Crops Primary,Yield,1967,35820.7
China,Sugar Crops Primary,Production,1967,22242930
China,Sugar Crops Primary,Area harvested,1968,590948
China,Sugar Crops Primary,Yield,1968,35609.1
China,Sugar Crops Primary,Production,1968,21043100
China,Sugar Crops Primary,Area harvested,1969,610581
China,Sugar Crops Primary,Yield,1969,32960
China,Sugar Crops Primary,Production,1969,20124720
China,Sugar Crops Primary,Area harvested,1970,676262
China,Sugar Crops Primary,Yield,1970,32244.5
China,Sugar Crops Primary,Production,1970,21805758
China,Sugar Crops Primary,Area harvested,1971,738603
China,Sugar Crops Primary,Yield,1971,31718.3
China,Sugar Crops Primary,Production,1971,23427216
China,Sugar Crops Primary,Area harvested,1972,837415
China,Sugar Crops Primary,Yield,1972,31176.6
China,Sugar Crops Primary,Production,1972,26107793
China,Sugar Crops Primary,Area harvested,1973,892326
China,Sugar Crops Primary,Yield,1973,30714.4
China,Sugar Crops Primary,Production,1973,27407274
China,Sugar Crops Primary,Area harvested,1974,863500
China,Sugar Crops Primary,Yield,1974,32272
China,Sugar Crops Primary,Production,1974,27866897
China,Sugar Crops Primary,Area harvested,1975,928899
China,Sugar Crops Primary,Yield,1975,29111.7
China,Sugar Crops Primary,Production,1975,27041824
China,Sugar Crops Primary,Area harvested,1976,1010200
China,Sugar Crops Primary,Yield,1976,28254.4
China,Sugar Crops Primary,Production,1976,28542645
China,Sugar Crops Primary,Area harvested,1977,981672
China,Sugar Crops Primary,Yield,1977,32098.2
China,Sugar Crops Primary,Production,1977,31509866
